roboID,dateOpened,dateClosed,profit
13837,2022-05-31 18:49:06.023,2022-06-01 11:55:01.530,30
13837,2022-06-01 12:04:06.070,2022-06-01 14:06:16.120,30
13837,2022-06-01 22:06:06.130,2022-06-03 00:30:04.450,-100
13837,2022-06-03 04:54:06.877,2022-06-09 14:18:03.847,-100
13837,2022-06-10 02:48:08.927,2022-06-10 09:18:13.750,30
13837,2022-06-10 09:48:08.787,2022-06-10 12:30:08.207,30
13837,2022-06-10 13:04:08.817,2022-06-10 14:04:04.880,30
13837,2022-06-10 16:48:09.060,2022-06-13 07:30:03.183,30
13837,2022-06-13 07:30:03.183,2022-06-13 11:50:06.107,30
13837,2022-06-13 11:54:10.867,2022-06-13 14:55:16.580,30
13837,2022-06-13 15:09:06.063,2022-06-15 15:15:03.507,30
13837,2022-06-15 20:14:06.817,2022-06-16 01:48:17.573,30
13837,2022-06-16 06:51:07.233,2022-06-16 07:41:03.077,30
13837,2022-06-16 13:25:07.170,2022-06-16 16:29:04.120,-100
13837,2022-06-17 02:06:07.427,2022-06-21 07:52:05.537,30
13837,2022-06-21 13:12:09.577,2022-06-22 14:39:04.993,30
13837,2022-06-23 01:43:05.813,2022-06-27 14:54:15.310,30
13837,2022-06-27 15:58:10.550,2022-06-29 04:50:10.417,-100
13837,2022-06-29 05:32:10.280,2022-06-29 13:44:15.247,30
13837,2022-06-29 14:31:10.010,2022-06-29 16:58:05.300,30
13837,2022-06-29 21:24:09.960,2022-06-30 10:30:05.807,30
13837,2022-06-30 10:56:10.580,2022-07-01 14:14:05.897,30
13837,2022-07-01 19:36:10.927,2022-07-05 07:26:04.143,30
13837,2022-07-05 20:12:09.247,2022-07-06 08:51:05.230,30
13837,2022-07-06 09:37:09.627,2022-07-06 10:55:08.143,30
13837,2022-07-06 11:15:11.440,2022-07-07 15:23:05.233,30
13837,2022-07-07 15:50:09.617,2022-07-08 07:20:06.273,30
13837,2022-07-08 08:10:09.817,2022-07-11 12:35:13.777,30
13837,2022-07-11 21:48:09.073,2022-07-12 01:19:05.010,30
13837,2022-07-12 01:46:09.477,2022-07-14 13:24:02.137,30
13837,2022-07-14 18:24:06.207,2022-07-18 07:08:02.063,-100
13837,2022-07-18 07:48:11.510,2022-07-18 10:23:02.373,30
13837,2022-07-18 10:46:01.867,2022-07-18 14:33:01.737,30
13837,2022-07-18 15:09:07.277,2022-07-19 07:32:06.960,30
13837,2022-07-19 08:18:06.580,2022-07-19 10:08:06.980,30
13837,2022-07-19 13:12:06.727,2022-07-21 12:45:03.413,30
13837,2022-07-21 13:27:03.870,2022-07-22 07:37:17.993,30
13837,2022-07-22 13:43:08.610,2022-07-26 10:06:03.043,30
13837,2022-07-26 23:00:07.380,2022-07-27 16:24:03.383,30
13837,2022-07-27 16:58:07.417,2022-07-27 19:30:07.867,-100
13837,2022-07-28 10:07:08.373,2022-07-28 20:39:02.743,30
13837,2022-07-28 21:05:07.770,2022-07-29 06:12:08.737,30
13837,2022-07-29 09:59:02.780,2022-07-29 10:43:02.783,30
13837,2022-07-29 11:04:12.903,2022-08-01 08:38:05.827,30
13837,2022-08-01 09:26:10.277,2022-08-02 00:39:17.820,30
13837,2022-08-02 01:01:05.627,2022-08-02 14:11:11.413,-100
13837,2022-08-03 03:12:11.113,2022-08-03 14:01:10.000,30
13837,2022-08-03 14:39:16.397,2022-08-04 18:09:18.027,-100
13837,2022-08-05 02:06:07.200,2022-08-10 12:30:09.610,30
13837,2022-08-10 20:42:16.567,2022-08-11 07:34:02.747,30
13837,2022-08-11 07:40:07.747,2022-08-11 13:14:18.103,30
13837,2022-08-11 13:23:07.553,2022-08-12 14:54:06.940,-100
13837,2022-08-15 10:25:09.710,2022-08-15 18:09:05.623,30
13837,2022-08-15 18:25:09.997,2022-08-16 09:08:05.393,30
13837,2022-08-16 09:20:04.923,2022-08-18 16:03:01.503,30
13837,2022-08-19 02:06:07.417,2022-08-19 11:23:07.120,30
13837,2022-08-19 11:26:06.663,2022-08-22 07:24:07.517,30
13837,2022-08-22 08:37:09.313,2022-08-22 13:56:14.610,30
13837,2022-08-22 15:09:09.570,2022-08-22 15:49:05.327,30
13837,2022-08-22 15:58:09.723,2022-08-23 06:29:05.877,30
13837,2022-08-23 06:40:10.033,2022-08-23 14:01:07.247,-100
13837,2022-08-23 14:38:05.470,2022-08-24 01:07:10.750,30
13837,2022-08-24 03:46:06.157,2022-08-24 14:04:06.317,30
13837,2022-08-24 14:19:01.867,2022-08-25 06:35:02.987,-100
13837,2022-08-25 10:59:01.570,2022-08-26 10:18:03.200,30
13837,2022-08-26 17:11:03.387,2022-08-29 12:25:02.643,30
13837,2022-08-30 02:36:01.920,2022-08-30 07:39:03.030,30
13837,2022-08-30 08:22:02.603,2022-08-30 09:23:02.757,30
13837,2022-08-30 12:27:02.993,2022-08-31 14:45:03.580,30
13837,2022-08-31 23:01:03.280,2022-09-01 14:03:04.213,-100
13837,2022-09-02 00:00:07.443,2022-09-05 07:40:03.263,30
13837,2022-09-05 11:18:06.230,2022-09-06 13:06:06.503,30
13837,2022-09-07 03:54:09.790,2022-09-07 17:05:16.033,-100
13837,2022-09-08 03:42:10.137,2022-09-08 10:25:06.333,30
13837,2022-09-08 11:00:04.753,2022-09-09 00:36:06.593,30
13837,2022-09-09 01:38:10.210,2022-09-09 04:15:11.100,30
13837,2022-09-09 07:00:10.460,2022-09-09 07:14:06.403,30
13837,2022-09-09 09:11:05.533,2022-09-12 06:50:03.727,30
13837,2022-09-12 10:53:03.580,2022-09-13 10:41:05.670,30
13837,2022-09-13 10:45:09.197,2022-09-13 12:33:06.230,-100
13837,2022-09-14 03:12:09.977,2022-09-15 06:24:15.517,30
13837,2022-09-15 06:25:05.413,2022-09-21 06:03:05.173,30
13837,2022-09-21 06:23:09.253,2022-09-21 06:33:04.840,30
13837,2022-09-21 11:38:05.027,2022-09-21 14:53:04.657,30
13837,2022-09-21 15:27:14.590,2022-09-21 18:00:16.447,30
13837,2022-09-21 18:36:10.260,2022-09-21 20:04:08.150,30
13837,2022-09-21 20:28:06.090,2022-09-22 00:15:06.797,30
13837,2022-09-22 00:23:06.063,2022-09-23 07:01:08.227,30
13837,2022-09-23 07:21:12.710,2022-09-23 08:15:08.647,30
13837,2022-09-23 08:17:11.253,2022-09-23 14:00:01.383,30
13837,2022-09-23 15:25:03.160,2022-09-23 17:39:03.837,30
13837,2022-09-23 17:58:08.043,2022-09-26 00:49:02.477,30
13837,2022-09-26 01:16:06.687,2022-09-26 15:45:03.300,30
13837,2022-09-26 15:58:06.977,2022-09-26 22:24:03.160,30
